ds,alx,gco,mco
2023-04-01  00:00,14,73,33
2023-04-01  01:00,25,81,19
2023-04-01  02:00,10,48,29
2023-04-01  03:00,13,50,24
2023-04-01  04:00,11,35,9
2023-04-01  05:00,9,33,19
2023-04-01  06:00,14,39,31
2023-04-01  07:00,19,37,46
2023-04-01  08:00,21,74,34
2023-04-01  09:00,20,99,60
2023-04-01  10:00,26,96,71
2023-04-01  11:00,19,114,63
2023-04-01  12:00,26,109,81
2023-04-01  13:00,28,89,83
2023-04-01  14:00,30,116,94
2023-04-01  15:00,35,134,64
2023-04-01  16:00,24,171,86
2023-04-01  17:00,25,174,83
2023-04-01  18:00,87,197,75
2023-04-01  19:00,49,150,68
2023-04-01  20:00,56,142,75
2023-04-01  21:00,57,133,86
2023-04-01  22:00,64,134,70
2023-04-01  23:00,45,98,52
2023-04-02  00:00,42,83,40
2023-04-02  01:00,11,66,37
2023-04-02  02:00,17,83,28
2023-04-02  03:00,15,66,25
2023-04-02  04:00,10,54,15
2023-04-02  05:00,16,31,8
2023-04-02  06:00,9,41,23
2023-04-02  07:00,14,53,32
2023-04-02  08:00,20,60,36
2023-04-02  09:00,38,91,69
2023-04-02  10:00,37,97,44
2023-04-02  11:00,26,105,55
2023-04-02  12:00,24,124,65
2023-04-02  13:00,34,107,80
2023-04-02  14:00,40,128,74
2023-04-02  15:00,44,111,54
2023-04-02  16:00,25,137,43
2023-04-02  17:00,15,132,83
2023-04-02  18:00,31,151,71
2023-04-02  19:00,21,128,69
2023-04-02  20:00,18,131,59
2023-04-02  21:00,23,84,41
2023-04-02  22:00,21,89,43
2023-04-02  23:00,17,50,28
2023-04-03  00:00,29,53,29
2023-04-03  01:00,9,31,19
2023-04-03  02:00,14,29,16
2023-04-03  03:00,15,30,10
2023-04-03  04:00,2,37,16
2023-04-03  05:00,9,34,10
2023-04-03  06:00,14,41,21
2023-04-03  07:00,26,74,35
2023-04-03  08:00,29,126,102
2023-04-03  09:00,34,145,94
2023-04-03  10:00,49,135,90
2023-04-03  11:00,40,165,99
2023-04-03  12:00,49,186,65
2023-04-03  13:00,49,143,81
2023-04-03  14:00,31,170,90
2023-04-03  15:00,37,156,138
2023-04-03  16:00,37,189,124
2023-04-03  17:00,25,141,118
2023-04-03  18:00,37,113,82
2023-04-03  19:00,23,109,87
2023-04-03  20:00,27,85,82
2023-04-03  21:00,30,100,42
2023-04-03  22:00,25,54,38
2023-04-03  23:00,26,56,29
2023-04-04  00:00,14,38,30
2023-04-04  01:00,17,36,14
2023-04-04  02:00,5,28,17
2023-04-04  03:00,24,17,13
2023-04-04  04:00,11,32,9
2023-04-04  05:00,7,40,18
2023-04-04  06:00,17,78,43
2023-04-04  07:00,21,82,49
2023-04-04  08:00,48,113,59
2023-04-04  09:00,40,138,71
2023-04-04  10:00,52,142,75
2023-04-04  11:00,36,170,105
2023-04-04  12:00,47,146,101
2023-04-04  13:00,38,166,93
2023-04-04  14:00,37,177,110
2023-04-04  15:00,44,191,110
2023-04-04  16:00,30,177,100
2023-04-04  17:00,39,223,97
2023-04-04  18:00,30,136,83
2023-04-04  19:00,25,167,61
2023-04-04  20:00,37,120,88
2023-04-04  21:00,27,88,42
2023-04-04  22:00,22,109,38
2023-04-04  23:00,34,55,23
2023-04-05  00:00,40,60,20
2023-04-05  01:00,22,54,9
2023-04-05  02:00,21,44,22
2023-04-05  03:00,14,38,9
2023-04-05  04:00,13,23,6
2023-04-05  05:00,8,27,11
2023-04-05  06:00,12,42,41
2023-04-05  07:00,16,79,37
2023-04-05  08:00,62,110,65
2023-04-05  09:00,38,134,68
2023-04-05  10:00,52,115,85
2023-04-05  11:00,41,143,87
2023-04-05  12:00,47,156,92
2023-04-05  13:00,41,166,95
2023-04-05  14:00,50,172,94
2023-04-05  15:00,34,184,96
2023-04-05  16:00,49,158,99
2023-04-05  17:00,66,158,71
2023-04-05  18:00,35,148,92
2023-04-05  19:00,27,149,81
2023-04-05  20:00,21,114,58
2023-04-05  21:00,26,136,57
2023-04-05  22:00,27,91,53
2023-04-05  23:00,22,70,33
2023-04-06  00:00,18,76,27
2023-04-06  01:00,10,39,20
2023-04-06  02:00,9,41,16
2023-04-06  03:00,8,38,10
2023-04-06  04:00,10,27,20
2023-04-06  05:00,18,26,17
2023-04-06  06:00,20,62,35
2023-04-06  07:00,22,77,42
2023-04-06  08:00,52,112,77
2023-04-06  09:00,34,130,102
2023-04-06  10:00,60,140,106
2023-04-06  11:00,33,146,88
2023-04-06  12:00,37,180,90
2023-04-06  13:00,31,142,115
2023-04-06  14:00,36,127,116
2023-04-06  15:00,29,156,108
2023-04-06  16:00,58,152,106
2023-04-06  17:00,42,155,107
2023-04-06  18:00,31,171,100
2023-04-06  19:00,16,109,79
2023-04-06  20:00,29,115,63
2023-04-06  21:00,16,93,57
2023-04-06  22:00,25,135,50
2023-04-06  23:00,14,73,47
2023-04-07  00:00,14,78,30
2023-04-07  01:00,10,81,32
2023-04-07  02:00,25,44,18
2023-04-07  03:00,22,28,16
2023-04-07  04:00,10,43,19
2023-04-07  05:00,12,38,22
2023-04-07  06:00,17,59,29
2023-04-07  07:00,24,66,63
2023-04-07  08:00,32,99,69
2023-04-07  09:00,22,120,53
2023-04-07  10:00,45,129,90
2023-04-07  11:00,44,148,101
2023-04-07  12:00,40,153,94
2023-04-07  13:00,33,189,85
2023-04-07  14:00,45,169,114
2023-04-07  15:00,30,152,103
2023-04-07  16:00,28,137,117
2023-04-07  17:00,47,165,106
2023-04-07  18:00,38,145,121
2023-04-07  19:00,26,143,103
2023-04-07  20:00,26,129,84
2023-04-07  21:00,31,148,91
2023-04-07  22:00,23,69,96
2023-04-07  23:00,24,72,40
2023-04-08  00:00,13,64,26
2023-04-08  01:00,11,68,43
2023-04-08  02:00,16,41,44
2023-04-08  03:00,21,40,17
2023-04-08  04:00,7,33,21
2023-04-08  05:00,10,31,21
2023-04-08  06:00,9,32,28
2023-04-08  07:00,8,62,54
2023-04-08  08:00,16,68,73
2023-04-08  09:00,29,118,71
2023-04-08  10:00,28,109,91
2023-04-08  11:00,40,119,66
2023-04-08  12:00,27,114,84
2023-04-08  13:00,43,104,103
2023-04-08  14:00,34,117,102
2023-04-08  15:00,35,82,120
2023-04-08  16:00,28,82,85
2023-04-08  17:00,30,114,98
2023-04-08  18:00,29,108,95
2023-04-08  19:00,22,147,126
2023-04-08  20:00,29,108,61
2023-04-08  21:00,29,66,76
2023-04-08  22:00,19,108,114
2023-04-08  23:00,38,81,59
2023-04-09  00:00,14,83,62
2023-04-09  01:00,8,54,37
