ds,alx,gco,mco
2019-01,18551,71234,44322
2019-02,16694,64044,42056
2019-03,19377,72819,44841
2019-04,19272,74810,45071
2019-05,20445,78998,47699
2019-06,15818,73326,46945
2019-07,21734,76369,47879
2019-08,20742,77252,50165
2019-09,19782,74136,47355
2019-10,20403,74318,47834
2019-11,18625,67266,43860
2019-12,18420,71716,43317
2020-01,18837,70188,41937
2020-02,18167,65051,41230
2020-03,18886,68979,41276
2020-04,15207,63023,44260
2020-05,16742,71510,43525
2020-06,17885,72452,45788
2020-07,20504,75125,46922
2020-08,19398,72521,49399
2020-09,18806,68753,45350
2020-10,19296,76545,49478
2020-11,17220,69063,41595
2020-12,16957,71607,40904
2021-01,19737,69239,41705
2021-02,19063,63757,38119
2021-03,17805,71671,42502
2021-04,18189,72068,42032
2021-05,19375,75800,46279
2021-06,22185,77946,47233
2021-07,21057,80154,48021
2021-08,20072,77953,48965
2021-09,19536,76177,48058
2021-10,20182,77517,47022
2021-11,20177,69054,42544
2021-12,19288,70875,42043
2022-01,19047,70533,40834
2022-02,17286,63385,39492
2022-03,19968,69768,42977
2022-04,19276,70564,38075
2022-05,20582,74641,41685
2022-06,19690,72648,47337
2022-07,21285,73839,48227
2022-08,21423,73684,47548
2022-09,19579,70547,48234
2022-10,19556,74016,46969
2022-11,18102,68790,42194
2022-12,19481,73225,43537
2023-01,19201,71447,44694
2023-02,17495,65996,39174
2023-03,20841,74078,46682
2023-04,21344,72090,44237
2023-05,22601,77392,46145
2023-06,22337,76875,45145
2023-07,23607,76713,47232
2023-08,22810,75158,47982
2023-09,21087,69929,45213
2023-10,21672,74091,45466
2023-11,18458,69873,42548
2023-12,18451,69517,42450
